cases,deaths,$S(t)$,$\dot{S}(t)$,$E(t)$,$\dot{E}(t)$,$I(t)$,$\dot{I}(t)$,$R^1(t)$,$\dot{R}^1(t)$,$R^2(t)$,$\dot{R}^2(t)$,$R^2(t)=N-\sum(SEIR^1)$,$R(t)=R^1(t)+R^2(t)$
64338,6507,64098976.93256199,709.0636276594723,413378.40329784725,-27440.1067229248,218570.12105618996,-13474.136786764657,68258.8148017903,36122.7348350431,200815.72828122097,93.61723664741473,200815.72828217596,269074.5430830113
68605,7560,64072803.90863418,858.2428062814713,423669.1234735524,-32539.297449531856,224031.67050292974,-16059.920545779403,72902.42105268285,42527.97684791071,206592.87633526308,124.27480697957394,206592.8763366565,279495.29738794593
70478,8078,64089935.85781713,1036.5920979957632,413120.95757796796,-39118.95679285905,218358.8006435561,-19393.045025997373,76015.04987665384,50774.6323084377,202569.3340925056,168.57924983534406,202569.33408469707,278584.38396915945
74390,8911,64094635.9032194,1175.1725059207508,408606.0878198707,-45192.456948456296,215961.67939098075,-22467.48785765158,79489.92286946233,58365.6717065985,201306.4067055399,213.77255905376293,201306.4067002833,280796.32957500225
78167,10328,64094597.70069331,1278.3818153242923,406408.4465778026,-51080.2657449132,214809.22296606912,-25446.368880721857,83097.87752113903,65701.81635189295,201086.75224386586,261.6466196509057,201086.75224167854,284184.6297650049
82048,10869,64090235.451887764,1345.6685038237706,406314.66975795664,-56826.70414952045,214777.29719466082,-28352.59560514774,86846.2207139349,72839.64078562493,201826.3604376331,312.02707435780644,201826.36044568568,288672.581151568
86334,12210,64077302.427313246,1376.7494885003061,410347.2501760215,-62328.67414802851,216944.75512646884,-31134.347644959405,90913.99703104106,79653.73112322424,204491.57034973608,363.39426693974303,204491.57035322487,295405.56738077715
90676,13197,64059799.98073048,1374.9902752439557,416561.0932998877,-67766.82324673884,220267.19532348056,-33883.17265818074,95189.30427079402,86370.51554474495,208182.4263735862,416.9145691697437,208182.42637535185,303371.7306443802
93790,13832,64060355.151272185,1337.5417978763653,414085.4849458637,-73874.27093565266,218934.0429916762,-36969.709727974056,98844.40712643725,93895.08893423424,207780.91366025136,479.78483893525356,207780.91366384178,306625.3207866886
95403,14393,64093315.273943655,1249.1759720720077,396077.5794342566,-80973.68365963723,209309.77189752448,-40557.0090859227,101262.42038553406,102620.50515999409,200034.9543370218,555.7699324786339,200034.95433903486,301297.37472255586
98076,14967,64123095.17096151,1113.2651758903448,379676.74577515555,-87728.66024163993,200591.84548482418,-43969.876567992906,103636.18958557915,110901.56912665523,193000.04819419276,630.5925101164796,193000.0481929332,296636.2377797719
103573,15729,64104259.22253384,970.4661616514318,386687.74423385935,-92736.21753886361,204399.97900609623,-46499.66028010525,107683.98826411391,117024.86414469776,196969.0659643875,687.7717295392404,196969.0659620911,304653.0542285014
106206,17167,64107519.42669391,762.1221831258512,383078.779546387,-98554.4146054561,202483.1225488978,-49438.709118267114,110970.94559994827,124123.95165775955,195947.72561085774,755.9437308992239,195947.72561085224,306918.671210806
108847,17920,64121229.32341367,498.84245721705696,374470.07990257035,-104659.58809283948,197898.32487028447,-52522.37732681154,113835.72337582377,131559.53462904596,192566.5484298265,828.8439230939067,192566.54843765497,306402.27180565026
109252,18681,64174366.574708186,131.80853020122947,346974.93950368837,-111890.86434232155,183237.7632562875,-56174.41266778034,115148.84829118564,140351.58293450315,180271.87424313123,916.5153848901606,180271.87424064428,295420.7225343169
111821,19323,64209027.334266484,-241.87000754845818,328464.26496983983,-118140.76894277117,173433.56283798517,-59330.46716131066,116907.47478306484,147937.09070229152,172167.36314705972,993.1824385557471,172167.3631426245,289074.83793012454
112606,19718,64260139.01265427,-690.9410003029741,302142.3873147861,-124644.10392446746,159463.15451467253,-62614.118838602306,117888.94499474706,155817.1064700766,160366.50052290116,1073.6829673205352,160366.50052152574,278255.44551764824
114657,20265,64295720.567313805,-1134.9834488133938,283400.44276683615,-130270.14367469016,149558.53874854033,-65454.391213868636,119219.23709249774,162624.6097093706,152101.2140717642,1143.514170650109,152101.21407832205,271320.45116426196
117324,20796,64311144.5076824,-1552.603803831928,274443.42513697967,-134982.4093953001,144859.23460792858,-67832.91057805817,121139.47172227125,168320.77891130844,148413.3608576727,1201.789514060106,148413.36085042357,269552.83257994393
119151,21340,64328635.01648544,-2005.5910187387528,264542.0205148269,-139627.28672891718,139631.02033090073,-70176.87245412107,122907.62114940377,173932.94459405626,144284.3215202219,1258.6145539089475,144284.32151943445,267191.9426696257
120804,21856,64348583.330016226,-2490.006074716855,253503.02542813,-144200.35145471443,133790.144089983,-72483.96521297729,124499.77766657385,179458.39278072456,139623.7227978326,1313.579650896064,139623.72279908508,264123.50046440645
122577,22245,64366316.734441444,-2984.2943384730543,243578.56017498992,-148535.47475937073,128543.41873344965,-74670.37304336696,126079.16449478174,184697.8687720893,135482.1221565903,1364.5334076244978,135482.12215533853,261561.28665137204
124114,22614,64385321.686323114,-3498.5570970768545,233086.40417138225,-152758.7782350093,122993.3218245206,-76799.74113200376,127525.59254722079,189804.54937744676,131072.99512785338,1412.93649245085,131072.9951337576,258598.58767507417
124575,22856,64420671.02535012,-4090.268264925982,214767.75032680907,-157336.23967798054,113281.27659253447,-79106.97456002948,128273.23791695396,195342.58407304803,123006.70981525893,1463.982299246368,123006.70981357247,251279.9477322129
125770,23293,64449867.61792734,-4652.924669528597,199494.67097009614,-161442.19253172525,105207.64725548422,-81175.9278553743,129088.14572770499,200312.9905269481,116341.91811662783,1508.4408317278899,116341.91811937094,245430.06384433282
126835,23660,64475903.36677703,-5199.141776582827,185819.13583724762,-165217.11636334535,97985.14346691994,-83077.51910018513,129886.71631072978,204885.41606623918,110405.63760667341,1548.0666852693196,110405.6376080662,240292.3539174032
128442,24087,64489752.39698471,-5683.654948813422,178089.53841155642,-168402.11182797837,93919.43636289026,-84681.45992076868,131017.96388600954,208746.08101915527,107220.66435859264,1580.37402381043,107220.66435483098,238238.62824460218
129581,24376,64503929.07869623,-6172.6578884976025,170243.53810049852,-171478.41222922457,89780.26091546295,-86230.19010051781,132070.53832196843,212478.41621404098,103976.58396404223,1610.414055116761,103976.58396583796,236047.12228601065
130185,24594,64525749.25989855,-6700.854531818923,158746.85969053008,-174672.57234506338,83699.39397374034,-87837.75521948957,132771.83317870434,216357.9431141933,99032.65325629919,1640.3158221009305,99032.65325847268,231804.48643500352
130979,24760,64546703.959703535,-7214.443097089898,147722.27699760484,-177664.54176781935,77875.33724047597,-89343.09703962647,133404.1290801917,219996.01213987358,94294.29697726658,1667.0838550350597,94294.29697819799,227698.42605745827
131287,24895,64573458.90345375,-7748.63751634898,133950.77161573328,-180669.5278088712,70596.14892508287,-90854.53565921546,133724.90818819884,223654.04476765468,88269.26781396427,1692.7283867065914,88269.26781722903,221994.1760021631
131863,25201,64596833.98195983,-8243.675062220193,121879.96945871065,-183361.76214791645,64225.84131399811,-92208.2726004803,134049.22491008622,226935.04401683426,83010.98235748384,1714.586230900907,83010.98235737532,217060.20726757008
132967,25531,64608300.80786825,-8650.087057456534,115627.68247457588,-185503.02571101263,60940.42208977349,-93284.65712072473,134707.49622010332,229547.5865132261,80423.59134839335,1731.0736004767894,80423.59134729952,215131.08756849667
137150,25809,64563365.6595156,-8708.854054391539,136682.52198942265,-185804.11934800234,72118.31141567916,-93435.96977046168,137394.995694185,229915.4131479908,90438.51138502522,1733.2628827496676,90438.51138512045,227833.50707921022
137779,25987,64550604.11042756,-9026.79250362008,142075.72906489862,-187406.38260151492,74957.6308487234,-94240.94779885422,139084.43212581577,231875.8513715133,93278.09753192987,1744.233854704922,93278.09753300995,232362.52965774565
138421,26230,64554481.314468026,-9467.706149149202,139386.3435466179,-189596.6262362361,73517.42804402299,-95341.02169470386,140207.91905507253,234559.99583069098,92406.99488765972,1758.3035277049512,92406.99488625675,232614.91394273227
138854,26310,64569617.098743,-9977.350445589525,131260.58590807405,-192090.43380069968,69207.52278002581,-96593.27362247159,140891.17749195945,237619.81511927233,89023.61507589392,1773.468255030893,89023.61507693678,229914.79256785335
