cases,deaths,$S(t)$,$\dot{S}(t)$,$E(t)$,$\dot{E}(t)$,$I(t)$,$\dot{I}(t)$,$R^1(t)$,$\dot{R}^1(t)$,$R^2(t)$,$\dot{R}^2(t)$,$R^2(t)=N-\sum(SEIR^1)$,$R(t)=R^1(t)+R^2(t)$
150383,5321,64235400.02840463,-3921.57211133969,294272.7486624348,-186700.41592030445,155412.5633859686,-94082.7849152075,154500.4426547909,229230.7010286003,160414.21689784102,2109.9504732032615,160414.21689217538,314914.6595526319
152438,5500,64252959.653605945,-4670.524754504645,284250.2371814736,-191722.703088547,150110.55402606603,-96619.09935490249,156441.89429622673,235214.2408438336,156237.6608833945,2176.767318193098,156237.6608902812,312679.5551796212
154175,5640,64274393.26951222,-5457.573056016993,272407.1365237114,-196711.16589892702,143835.75501195734,-99137.43483376443,158152.83390997525,241161.17066657153,151211.00504426906,2241.4372598854525,151211.00504213572,309363.8389542443
155193,5750,64307553.90966963,-6318.245577831567,254972.94664703507,-201889.59374876143,134586.2725092629,-101750.75416537648,159323.85437819368,247338.78504894732,143563.01679518583,2306.7528851974294,143563.0167958811,302886.8711733795
156337,5913,64342120.58674852,-7183.798224106283,236935.95572169032,-206842.23670503922,125031.85498349878,-104249.27868318323,160289.47853723678,253250.97157442573,135622.12400961723,2367.455114499578,135622.12400905043,295911.602546854
157641,6115,64372296.784049325,-8015.026172853128,221093.60975980418,-211375.43420490494,116654.9622531797,-106535.44350105342,161260.46854505717,258665.98529416902,128694.17539073089,2421.3810256205547,128694.17539262772,289954.6439357881
159119,6288,64395273.72009538,-8793.302024563636,208793.86810562987,-215433.71669748114,110162.48419014459,-108581.42741505502,162360.99823497082,263517.27655611484,123408.92937501048,2468.1273916052755,123408.92937387526,285769.92760998127
159119,6288,64436535.5949786,-9682.09730460083,187743.19022013288,-219882.69519701047,99010.31534604056,-110823.63099121761,162675.3430580644,268840.4234357908,114035.55639534415,2517.5788559342395,114035.55639716238,276710.89945340855
161703,6575,64442656.178820245,-10307.826754907723,183728.94444483737,-222891.08635029112,96930.04974388325,-112339.28763319502,164109.45420074378,272443.57315425726,112575.3727924805,2549.6964368426447,112575.3727902919,276684.82699322427
162496,6649,64459313.784381054,-11013.06594767598,174661.3715681494,-226168.299335384,92138.3017552249,-113989.81395413764,165119.82329774514,276373.4588000439,108766.71899750632,2583.2035387896312,108766.71899782121,273886.54229525145
163175,6692,64481800.75916555,-11749.998438950404,162823.63150615606,-229487.52756754708,85875.1978276942,-115660.91353488898,165835.18499788156,280359.3340205836,103665.22650325179,2615.528827943961,103665.22650272399,269500.41150113335
163860,6831,64505422.891442746,-12475.247066617047,150493.17404283592,-232658.88391310925,79356.73650804801,-117257.01533728676,166404.549145646,284173.09986579965,98322.64885914876,2644.8582530369017,98322.64886072278,264727.1980047948
164897,6996,64522205.13591632,-13125.771196064976,141525.1199230065,-235424.70983031532,74627.04007776942,-118648.55721727913,167118.8017675861,287503.8508143978,94523.90231596734,2669.1010415104274,94523.90231531858,261642.70408355343
166091,7119,64531772.77284839,-13705.072320859952,136088.56510740067,-237825.14046995286,71767.0232525963,-119855.87443275836,168021.6437919486,290398.64484966756,92349.99499815836,2688.998405263901,92349.99499966204,260371.63879010695
167300,7266,64536728.79926476,-14241.0622681094,132909.84326895385,-239995.68232864275,70097.54572350766,-120947.22598254049,169047.97013726304,293020.0261466312,91215.84160346979,2705.96211225859,91215.84160552174,260263.8117407328
168551,7369,64538263.0641327,-14748.14906544966,131401.77413846436,-242007.8726129949,69308.29299744114,-121958.65162538775,170173.58587268167,295453.7998962256,90853.28285903606,2720.7479150110325,90853.28285871446,261026.86873171772
169218,7395,64547277.99114063,-15317.582684511475,126285.9758227061,-244227.3252864813,66601.07676161389,-123073.93634988584,171010.12497252433,298142.215073866,88824.83130239556,2736.0609077009135,88824.83130253106,259834.95627491988
169575,7417,64564281.0355459,-15940.922118987797,117333.05139297777,-246615.99238327585,61863.0223045583,-124273.93166985441,171506.2647955266,301039.5059163745,85016.62596303079,2751.5387337480183,85016.62596103549,256522.8907585574
